group,evidence,SP,TM,kinase_pfam,lrr_pfam,other_pfam,at_lrr_blast,at_other_blast,at_unspec_blast
LRR-RK,PFAM,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
LRR-RK,BLAST,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
LRR-RK,PFAM+BLAST,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
LRR-RP,PFAM,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
LRR-RP,BLAST,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
LRR-RP,PFAM+BLAST,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
OTHER-RK,PFAM,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
OTHER-RK,BLAST,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
OTHER-RK,PFAM+BLAST,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
OTHER-RP,PFAM,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
OTHER-RP,BLAST,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
OTHER-RP,PFAM+BLAST,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
LRR+OTHER-RK,t1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
LRR+OTHER-RK,t2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
LRR+OTHER-RK,t3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
LRR+OTHER-RK,t4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LRR+OTHER-RK,t5,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
LRR+OTHER-RK,t6,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
LRR+OTHER-RK,t7,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
LRR+OTHER-RK,t8,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
LRR+OTHER-RK,t9,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
LRR+OTHER-RP,t10,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
LRR+OTHER-RP,t11,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
LRR+OTHER-RP,t12,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
LRR+OTHER-RP,t13,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
LRR+OTHER-RP,t14,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
LRR+OTHER-RP,t15,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
LRR+OTHER-RP,t16,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
LRR+OTHER-RP,t17,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
LRR+OTHER-RP,t18,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
unclassified_RK,t1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
unclassified_RP,t2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
LRR-RK,PFAM,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
LRR-RK,BLAST,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
LRR-RK,PFAM+BLAST,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
LRR-RP,PFAM,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
LRR-RP,BLAST,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
LRR-RP,PFAM+BLAST,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
OTHER-RK,PFAM,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
OTHER-RK,BLAST,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
OTHER-RK,PFAM+BLAST,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
OTHER-RP,PFAM,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
OTHER-RP,BLAST,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
OTHER-RP,PFAM+BLAST,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
LRR+OTHER-RK,t1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
LRR+OTHER-RK,t2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
